code,libelle,age_apparition,cim,GARD,MedDRA,MeSH,OMIM,prevalence,synonymes,UMLS
3328,Syndrome de tibia absent-polydactylie-kyste arachnoïdien,"Petite enfance, Néonatal",-,5210,-,C536918,601027,<1 / 1 000 000,Syndrome de Holmes-Collins,C2931368
3329,Syndrome de tibia aplasique-ectrodactylie,"Petite enfance, Néonatal",Q73.8,1369,-,-,119100  610685  612576,1-9 / 1 000 000,Aplasie du tibia avec anomalie des mains et pieds fendus ; Hémimélie tibiale avec malformation des mains et pieds fendus ; Malformation des mains et pieds fendus associée à une aplasie des os longs ; Malformation des mains et pieds fendus avec une anomalie des os longs ; Syndrome SHFLD ; Syndrome d'hémimélie tibiale-ectrodactylie,C1861553
3332,Syndrome de tibia hypoplasique-polydactylie,"Petite enfance, Néonatal",Q74.8,-,-,-,188740,Inconnu,Syndrome mésomélique de Werner,-
3333,Dysplasie du tissu conjonctif type Spellacy,-,-,1509,-,-,-,-,Syndrome de Spellacy-Gibbs-Watts,-
3336,Syndrome de Tomé-Brunet-Fardeau,-,-,5222,-,-,-,-,-,-
3337,Syndrome de Fanconi primaire,-,E72.0,9118,-,-,134600  613388  615605,-,Syndrome de Fanconi primaire rénotubulaire,-
3338,Syndrome de Toriello-Carey,"Petite enfance, Néonatal",Q87.8,5225,-,-,217980,<1 / 1 000 000,Syndrome d'agénésie du corps calleux-blépharophimosis-séquence de Robin,C0796184
3339,Syndrome de Toriello-Lacassie-Droste,"Petite enfance, Néonatal",-,10366,-,-,600268,<1 / 1 000 000,Syndrome d'aplasie cutanée congénitale-dermoïdes épibulbaires,C1838329
3341,Syndrome de torticolis-chéloïdes-cryptorchidisme,"Petite enfance, Néonatal",Q87.8,5230,-,C536970,314300,<1 / 1 000 000,-,C1839129
3342,Syndrome de tortuosité artérielle,Enfance,I77.1,774,-,-,208050,<1 / 1 000 000,ATS ; Syndrome de flexuosité artérielle,C1859726
3343,Toxocarose,Enfance,B83.0,-,10044269,D014120,-,Inconnu,-,C0040553
3344,Syndrome de Weismann-Netter-Stuhl,Néonatal,Q77.8,5232,-,C537082,112350,Inconnu,Toxo-pachy-ostéose diaphysaire ; WNS,C1862172
3346,Agénésie de la trachée,"Néonatal, Prénatal",Q32.1,5233,-,C536975,-,<1 / 1 000 000,-,C1261567
3347,Syndrome de Mounier-Kühn,Tout âge,J98.0,3793  5234,10044316,D014137,275300,Inconnu,Trachéobronchomégalie ; Trachéobronchomégalie congénitale ; Trachéobronchomégalie idiopathique,C0040587  C2713583
3348,Trachéobronchopathie chondro-ostéoplastique,"Enfance, Adulte, Troisième age",J98.0,5235,-,-,189961,Inconnu,Trachéopathie ostéoplastique,C0520538  C3887588
3349,Syndrome de Treft-Sanborn-Carey,-,-,-,-,C536544,-,-,Syndrome d'atrophie optique-ophtalmoplégie-ptosis-surdité-myopathie,C2931235
3350,Syndrome de tremblement essentiel-nystagmus-ulcère,Néonatal,-,3948,-,-,190310,<1 / 1 000 000,Syndrome de Neuhauser-Daly-Magnelli,C1860860
3351,Syndrome tricho-dentaire,Enfance,-,265,-,C536551,601453,<1 / 1 000 000,Syndrome de Kersey,C0406724
3352,Syndrome tricho-dento-osseux,Enfance,Q82.4,7799,-,C536549,190320,<1 / 1 000 000,-,C0265333
3353,Syndrome tricho-dermo-dentaire,Néonatal,-,4369,-,-,-,<1 / 1 000 000,Syndrome de Pinheiro-Freire-Maia-Miranda,C2931485
3355,Dysplasie tricho-odonto-onychiale,"Petite enfance, Néonatal",-,5267,-,-,275450,<1 / 1 000 000,Syndrome de dysplasie tricho-odonto-onychiale-anomalie des os fronto-pariétaux,C3502453
3357,Syndrome de dysplasie tricho-odonto-onychiale-syndactylie autosomique dominante,Néonatal,-,5376,-,-,-,<1 / 1 000 000,Syndrome de Trueb-Burg-Bottani,C2931239
3360,Syndrome trichodermal-déficience intellectuelle,-,-,3081,-,-,-,-,Syndrome de Katsantoni-Papadakou-Lagoyanni,C2931394
3361,Syndrome de trichodysplasie-xérodermie,Néonatal,-,5261,-,-,190360,<1 / 1 000 000,-,C1860822
3363,Syndrome de trichomégalie-dégénérescence rétinienne pigmentaire-retard de croissance,"Petite enfance, Néonatal",-,5266,-,-,275400,<1 / 1 000 000,Syndrome d'Oliver-McFarlane ; Syndrome de cils longs-déficience intellectuelle,C1848745
3365,Syndrome de trigonocéphalie-anomalies des extrémités,"Petite enfance, Néonatal",Q87.0,2756,-,-,-,<1 / 1 000 000,Syndrome de Hunter-Rudd-Hoffmann,-
3366,Trigonocéphalie isolée,"Petite enfance, Néonatal",Q75.0,-,-,-,190440  614485,-,Craniosynostose non syndromique de la suture métopique,C0265535
3368,Syndrome de trigonocéphalie-nez bifide-anomalies des extrémités,"Petite enfance, Néonatal",Q87.0,5126  5277,-,-,275595,<1 / 1 000 000,-,C1848743
3369,Syndrome de trigonocéphalie-petite taille-retard de croissance,Non documenté,Q87.0,243,-,-,314320,<1 / 1 000 000,Syndrome de Say-Meyer,C1839125
3374,Triopie,Néonatal,Q15.8,5286,-,-,-,<1 / 1 000 000,-,-
3375,Trisomie X,"Petite enfance, Enfance",Q97.0,5672,-,D014314,-,1-5 / 10 000,"Syndrome 47,XXX ; Syndrome XXX ; Syndrome du triple X ; Syndrome triplo-X",C0221033
3376,Triploïdie,"Néonatal, Prénatal",Q92.7,5295,-,D057885,-,Inconnu,-,C0333693
3377,Syndrome de trismus-pseudocamptodactylie,"Petite enfance, Néonatal",Q68.8,2621,-,-,158300,Inconnu,Arthrogrypose distale type 7 ; Syndrome de Dutch-Kentucky ; Syndrome de Hecht ; Syndrome de Hecht-Beals,C0265226
3378,Trisomie 13,"Néonatal, Prénatal",Q91.4  Q91.5  Q91.6  Q91.7,7341,10044686,-,-,1-9 / 1 000 000,Syndrome de Patau,C0152095  C2936830
3379,Trisomie distale 17q,-,Q92.3,-,-,C536579,-,-,Duplication distale 17q ; Duplication télomérique 17q ; Trisomie 17qter,C2931247
3380,Trisomie 18,"Néonatal, Prénatal",Q91.0  Q91.1  Q91.2  Q91.3,6321,10053884,-,-,1-9 / 1 000 000,Duplication du chromosome 18 ; Syndrome d'Edwards,C0152096
3383,Aplasie de la trochlée de l'humérus,Néonatal,Q74.0,2750,-,-,191000,<1 / 1 000 000,-,C1860773
3384,Tronc artériel commun,"Petite enfance, Néonatal",Q20.0,-,-,-,217095,Inconnu,TAC,C0041207
3385,Trypanosomiase africaine,Tout âge,B56.0  B56.1  B56.9,7826,10001461,D014353,-,Inconnu,Maladie du sommeil ; Trypanosomose africaine,C0041228
3386,Trypanosomiase américaine,Tout âge,B57.0  B57.1  B57.2  B57.3  B57.4  B57.5,-,10001935,-,-,1-9 / 1 000 000,Maladie de Chagas ; Trypanosomose américaine,C0041234
3387,Hypertrichose cervicale antérieure isolée,Enfance,L68.2,8438,-,-,600457,<1 / 1 000 000,Syndrome de Tsukahara-Kajii ; Syndrome de la gorge poilue,C1838123
3389,Tuberculose,Tout âge,-,7827,10044755,D014376,607948,1-5 / 10 000,-,C0041296
3390,Syndrome de tubulopathie proximale-diabète sucré-ataxie cérébelleuse,-,Q87.8,4532,-,-,560000,<1 / 1 000 000,-,-
3391,Syndrome de dysplasie odonto-onycho-hypohidrotique-anomalies du cuir chevelu,-,-,2039,-,-,129550,-,Syndrome de Tuffli-Laxova ; Syndrome de dysplasie ectodermique-kyste adrénal,C1851850
3392,Tularémie,Tout âge,A21.0  A21.1  A21.2  A21.3  A21.7  A21.8  A21.9,396,10045146,D014406,-,1-9 / 100 000,-,C0041351
3400,Tunnel aorto-ventriculaire,"Petite enfance, Néonatal",Q20.8,-,-,-,-,<1 / 1 000 000,-,-
3402,Tyrosinémie transitoire du nouveau-né,-,P74.5,5388,-,-,-,-,-,-
3403,Anomalie d'Uhl,"Petite enfance, Néonatal",Q24.8,5393,10048951,C536932,107970,<1 / 1 000 000,-,C0265857
3404,Syndrome d'Ulbright-Hodes,Néonatal,Q87.8,5394,-,-,266910,<1 / 1 000 000,Syndrome de dysplasie rénale-anomalie des membres ; Syndrome de dysplasie rénale-mésomélie-fusion radio-humérale,C1849438
3405,Syndrome d'ulcération du cordon ombilical-atrésie intestinale,"Petite enfance, Néonatal",-,5403,-,C536938,-,<1 / 1 000 000,-,C2931371
3406,Ulérythème ophryogène,Enfance,-,5395,-,-,604093,Inconnu,-,-
3408,Maladie d'Upington,Non documenté,M91.8,5421,-,C536472,191520,<1 / 1 000 000,Syndrome de dysplasie de la hanche-enchondromatose-ecchondromatose,C1860596
3409,Syndrome d'Urban-Rogers-Meyer,Petite enfance,Q87.8,5426,-,-,264010,<1 / 1 000 000,Syndrome d'habitus Prader-Willi-ostéopénie-camptodactylie ; Syndrome de déficience intellectuelle-petite taille-mains contracturées-anomalies génitales,C0796189
3411,Syndrome d'utérus double-hémivagin-agénésie rénale,"Petite enfance, Néonatal",-,1910,-,-,192050,<1 / 1 000 000,Hémivagin obstrué et anomalie rénale ipsilatérale ; Syndrome OHVIRA ; Syndrome de Herlyn-Werner ; Syndrome de Wunderlich ; Syndrome de double utérus et d'hémivagin obstrué,C1860549
3412,Syndrome de VACTERL-hydrocéphalie,"Petite enfance, Néonatal",Q87.8,272,-,-,276950  314390,<1 / 1 000 000,Syndrome de Sujansky-Leonard,-
3416,Hyperostose corticale généralisée,"Enfance, Adolescence",M85.2,2833,-,-,239100  607636,<1 / 1 000 000,Hyperphosphatasémie tardive ; Maladie de Van Buchem,C0432272
3417,Syndrome de Van der Bosch,Non documenté,-,5453,-,-,314500,<1 / 1 000 000,-,C0796192
3419,Syndrome de Van Regemorter-Pierquin-Vamos,"Prénatal, Néonatal",-,5457,-,-,-,<1 / 1 000 000,-,-
3421,Vasculopathie cérébro-rétinienne,-,-,2558,-,-,-,-,CRV ; Syndrome de Grand-Kaine-Fulling,C1860518
3423,Syndrome de Vasquez-Hurst-Sotos,-,-,5465,-,C536533,-,-,Syndrome d'hypogonadisme-gynécomastie-déficience intellectuelle lié à l'X,C2931231
3424,Syndrome vélo-facio-squelettique,Néonatal,Q87.0,5469,-,-,600736,<1 / 1 000 000,-,C1833380
3426,Ventricule droit à double issue,"Petite enfance, Néonatal",Q20.1,1908,10013611,D004310,217095,1-5 / 10 000,DORV,C0013069
3427,Ventricule gauche à double issue,"Petite enfance, Néonatal",Q20.2,1907,-,-,-,<1 / 1 000 000,VGDI,C0265809
3429,Syndrome de Verloove-Van Horick-Brubakk,Néonatal,Q87.8,5482,-,C536541,215850,<1 / 1 000 000,Syndrome de fente-malformations du coeur et des membres,C1859082
3433,Syndrome de microcéphalie-brachydactylie-déficience intellectuelle,"Petite enfance, Néonatal",Q87.8,5490,-,-,-,<1 / 1 000 000,Syndrome de Viljoen-Kallis-Voges,C2931177
3434,Syndrome MMEP,"Petite enfance, Néonatal",Q87.8,3693,-,-,601349,Inconnu,MCOPS8 ; Microphtalmie syndromique type 8 ; Syndrome de Viljoen-Smart ; Syndrome de microcéphalie-microphtalmie-ectrodactylie des membres inférieurs-prognathisme,C1832440
3437,Maladie de Vogt-Koyanagi-Harada,Tout âge,H20.8  H30.8,7862,-,-,-,Inconnu,Syndrome d'uvéoméningite,C0042170
3438,Syndrome des voies biliaires anormales-insuffisance rénale,-,-,3315,-,-,-,-,Syndrome de Lutz-Richner-Landolt ; Syndrome de cholostase-insuffisance rénale tubulaire,C0400972
3439,Syndrome de von Voss-Cherstvoy,"Petite enfance, Néonatal",Q87.8,1894,-,-,223340,<1 / 1 000 000,Syndrome DK phocomélie ; Syndrome de phocomélie-thrombocytopénie-encéphalocèle-malformations urogénitales,C1857226
3440,Syndrome de Waardenburg,"Petite enfance, Néonatal",E70.3,5525,10069203,D014849,148820  193500  193510  600193  606662  608890  611584,1-9 / 100 000,-,C0043008  C3266898
3444,Syndrome de Watson,-,Q85.0,5540,-,-,193520,-,Syndrome de sténose pulmonaire-taches café au lait,C0553586
3446,Syndrome de Weaver-like,-,-,5544,-,-,-,-,-,C0220765
3447,Syndrome de Weaver,"Néonatal, Prénatal",Q87.3,7878,-,C536687,277590,<1 / 1 000 000,Syndrome de camptodactylie-avance staturo-pondérale-dysmorphie,C0265210
3448,Syndrome de Weaver-Williams,"Petite enfance, Néonatal",Q87.8,5545,-,-,-,<1 / 1 000 000,-,-
3449,Syndrome de Weill-Marchesani,"Petite enfance, Néonatal",Q87.0,4936,10064963,D056846,277600  608328  614819,1-9 / 100 000,Syndrome de sphérophakie-brachymorphie,C0265313
3450,Syndrome de Weissenbacher-Zweymuller,"Petite enfance, Néonatal",Q77.7,4351,-,-,277610,<1 / 1 000 000,"Dysplasie hétérozygote oto-spondylo-méga-épiphysaire ; OSMED, forme hétérozygote ; Syndrome de Pierre Robin-chondrodysplasie ; Syndrome de séquence de Pierre Robin-chondrodysplasie",C1848488
3451,Syndrome de West,"Petite enfance, Néonatal, Enfance",G40.4,7887,10021750,-,300672  308350  613477  613722  615006  616139  616341  617065,1-9 / 100 000,Spasmes infantiles ; Syndrome de déficience intellectuelle-hypsarythmie,C0037769
3452,Maladie de Whipple,Tout âge,K90.8+  M14.8*,7889,10047931,C531849  D008061,-,Inconnu,Granulomatose lipophagique intestinale ; Lipodystrophie intestinale ; Sprue non tropicale secondaire,C0023788  C2930851
3453,Polyendocrinopathie auto-immune type 1,"Enfance, Adolescence",E31.0,8466,-,C538275,240300,1-9 / 1 000 000,APS type 1 ; APS1 ; Syndrome APECED ; Syndrome HAM ; Syndrome MEDAC ; Syndrome d'hypoparathyroïdie auto-immune-candidose chronique-maladie d'Addison ; Syndrome de déficit endocrinien multiple-maladie d'Addison-candidose ; Syndrome de polyendocrinopathie auto-immune-candidose-dystrophie ectodermique ; Syndrome polyglandulaire auto-immun type 1,C0085859  C3494489
3454,Syndrome de déficience intellectuelle-retard de développement-contractures,Néonatal,G71.8,7890,-,C536703,314580,<1 / 1 000 000,Syndrome de Wieacker-Wolff ; Syndrome des contractures du pied-atrophie musculaire-apraxie oculomotrice,C0796200
3455,Syndrome de Wiedemann-Rautenstrauch,"Petite enfance, Néonatal",E34.8,330,-,C536423,264090,<1 / 1 000 000,Syndrome progéroïde néonatal,C0406586
3456,Syndrome de Wildervanck,"Petite enfance, Néonatal",Q87.8,5569,10069402,C536706,314600,<1 / 1 000 000,Syndrome cervicooculoacoustique,C0265239
3459,Syndrome de Wilson-Turner,Enfance,-,5579,-,-,309585,<1 / 1 000 000,Syndrome de déficience intellectuelle liée à l'X-gynécomastie-obésité ; WTS,C1839736
3460,Syndrome de Torg-Winchester,Enfance,M89.5,7894,-,C536051,259600  277950,<1 / 1 000 000,Syndrome de Winchester,C1850155
3463,Syndrome de Wolfram,"Enfance, Adolescence, Adulte",E13.8,7898,-,D014929,222300  598500  604928,1-9 / 1 000 000,Syndrome DIDMOAD,C0043207
3464,Syndrome de Woodhouse-Sakati,Adolescence,Q87.8,5592,-,C536742,241080,<1 / 1 000 000,Syndrome de diabète-hypogonadisme-surdité-déficience intellectuelle,C0342286
3465,Syndrome de Worster-Drought,Enfance,G80.8,5598,-,C536747,185480,1-9 / 100 000,Parésie suprabulbaire congénitale,C0796204
3466,Syndrome WT membres-sang,Enfance,D61.0,39,-,C536751,194350,<1 / 1 000 000,-,C1327917
3467,Xanthinurie héréditaire,Tout âge,E79.8,-,-,-,278300  603592,Inconnu,Lithiase xanthique ; Xanthinurie classique,-
3469,Syndrome d'aprosencéphalie XK,"Petite enfance, Néonatal",Q04.3,424,-,C536767,207770,<1 / 1 000 000,Aprosencéphalie-XK ; Syndrome de Garcia-Lurie,C0431348  C0795952
3471,Syndrome de Young,Adulte,N46,341,10063689,C536718,279000,Inconnu,Syndrome d'azoospermie-infections pulmonaires-sinusite,C0340037
3472,Syndrome de Yunis-Varon,Néonatal,Q87.8,331,-,C536719,216340,<1 / 1 000 000,-,C1857663
3473,Syndrome de Zimmermann-Laband,"Petite enfance, Néonatal",Q87.8,385,-,-,135500  616455,<1 / 1 000 000,Syndrome de Laband ; Syndrome de fibromatose gingivale-hépatosplénomégalie-autres anomalies,C0796013
3474,Syndrome CHIME,Enfance,Q87.8,310,-,-,280000,<1 / 1 000 000,Anomalie congénitale de la glycosylation par déficit en PIGL ; Dysplasie neuroectodermique type CHIME ; PIGL-CDG ; Syndrome colobome-maladie cardiaque congénitale-dermatose ichtyosiforme-déficience intellectuelle-anomalie des oreilles ; Syndrome de Zunich-Kaye ; Syndrome neuroectodermique type Zunich,C1848392
25968,Epilepsie à pointes occipitales,"Adolescence, Enfance, Petite enfance",G40.0,2170,-,-,132090,Inconnu,-,C1851549
25980,Myopathie avec autophagie excessive liée à l'X,"Enfance, Petite enfance, Adulte, Néonatal, Adolescence",G71.8,3892,-,-,310440,<1 / 1 000 000,Myopathie vacuolaire,C1839615  C2931230
26106,Cancer gastrique diffus héréditaire,Adulte,C16.9,10900,-,-,137215,Inconnu,Adénocarcinome gastrique diffus héréditaire ; Cancer de l'estomac diffus familial ; Cancer de l'estomac diffus héréditaire ; Cancer gastrique diffus familial ; HDGC,C1708349
26137,Artérite temporale juvénile,Enfance,L95.8,3068,-,-,-,<1 / 1 000 000,Artérite temporale granulomateuse éosinophilique sans cellules géantes,C0751547
26348,Déficit acquis en facteur II,-,D68.4,475,-,-,-,-,Hypoprothrombinémie acquise,C0392610
26349,Déficit acquis en protéine S,-,D68.8,-,10068370,-,-,-,-,C2363755
26790,Maladie gélatineuse du péritoine,Adulte,C78.6,2448  7488,10037138,D011553,-,Inconnu,Ascite gélatineuse ; PMP ; Pseudomyxome péritonéal,C0033822
26791,Déficit multiple en acyl-CoA déshydrogénases,Tout âge,E71.3,6523,-,-,231680,1-9 / 1 000 000,Acidurie glutarique type 2 ; Acidémie glutarique type 2 ; Déficit en MAD ; MADD,C0268596  C2931346
26792,Déficit en acyl-CoA déshydrogénase des acides gras à chaîne courte,"Néonatal, Petite enfance, Enfance",E71.3,4822,-,C537596,201470,Inconnu,Déficit en ACADS ; Déficit en SCAD ; SCADD,-
26793,Déficit en acyl-CoA déshydrogénase des acides gras à chaîne très longue,"Petite enfance, Néonatal",E71.3,5508,-,-,201475,1-9 / 100 000,Déficit en VLCAD ; VLCADD,C3887523
28378,Tyrosinémie type 2,"Petite enfance, Néonatal",E70.2,3105,10069463,-,276600,<1 / 1 000 000,Syndrome de Richner-Hanhart ; Syndrome de kératose palmoplantaire-dystrophie cornéenne ; Tyrosinémie oculo-cutanée ; Tyrosinémie par déficit en TAT ; Tyrosinémie par déficit en tyrosine aminotransférase ; Tyrosinémie type II,C0268487
29072,Phéochromocytome-paragangliome héréditaire,Enfance,C74.1  C75.5  D35.0  D35.6,11984,-,-,115310  168000  171300  601650  605373  614165,1-9 / 1 000 000,Phéochromocytome-paragangliome familial,-
29073,Myélome multiple,Adulte,C90.0,7108,10028228,D009101,254500,1-5 / 10 000,Maladie de Kahler ; Myélomatose ; Myélome à plasmocytes ; Plasmacytome médullaire,C0026764
29207,Arthrite réactionnelle,Tout âge,M02.3,5693,10003267  10038294,D016918,-,1-9 / 100 000,Maladie de Fiessinger-Leroy ; Maladie de Reiter ; Syndrome de Fiessinger-Leroy-Reiter ; Syndrome de Reiter,C0035012  C0085435
29822,Hypothermie périodique spontanée,Tout âge,G90.8,4815,-,-,-,<1 / 1 000 000,Syndrome de Shapiro,C2931542
30391,Atrésie des voies biliaires isolée,"Petite enfance, Néonatal",Q44.2,12010,10003650,D001656,210500,1-9 / 100 000,-,C0005411
30924,Hypomagnésémie primaire avec hypocalcémie secondaire,"Petite enfance, Néonatal",E83.4,-,-,-,602014,<1 / 1 000 000,HOMG1 ; HSH ; Hypomagnésémie intestinale avec hypocalcémie secondaire ; Hypomagnésémie intestinale type 1 ; Hypomagnésémie par malabsorption sélective de magnésium ; PHSH,C1865974
30925,Diabète insipide central héréditaire,Enfance,E23.2,-,-,-,125700  304900,Inconnu,DIC héréditaire ; Diabète insipide neurogène héréditaire,-
31043,Hypomagnésémie primaire familiale avec hypercalciurie et néphrocalcinose sans atteinte oculaire sévère,Enfance,E83.4,-,-,-,248250,<1 / 1 000 000,FHHNC sans atteinte oculaire sévère ; HOMG3 ; Hypomagnésémie rénale type 3,-
31112,Dermatofibrosarcome de Darier-Ferrand,Tout âge,C49.9,9569,10057070,C538219,607907,1-5 / 10 000,DFSP,C0392784
31142,Lichen érosif buccal,-,L43.8,-,-,-,-,-,-,-
31150,Maladie de Tangier,"Néonatal, Petite enfance, Enfance",E78.6,7731,10051875,D013631,205400,<1 / 1 000 000,Analphalipoprotéinémie ; Déficit du transporteur à ATP-binding cassette A1,C0039292
31202,Mélioïdose,Tout âge,A24.1  A24.2  A24.3  A24.4,9546,10069748,D008554,615557,Inconnu,-,C0025229
31204,Nocardiose,Tout âge,A43.0  A43.1  A43.8  A43.9,7210,10029444,C536125,-,Inconnu,-,C0028242
31205,Fièvre due aux morsures de rat,-,A25.0  A25.1  A25.9,9557,10037904,D011906,-,Inconnu,-,C0034686
31709,Syndrome de convulsions infantiles-choréoathétose,"Petite enfance, Néonatal",G40.4,8553,-,-,602066,Inconnu,Syndrome ICCA,C1865926
31824,Intoxication par la colchicine,Tout âge,T50.4,-,-,-,-,1-9 / 1 000 000,-,-
31825,Intoxication par le méthanol,Tout âge,T51.1,-,-,-,-,Inconnu,-,-
31826,Intoxication par l'éthylène glycol,Tout âge,T52.8,-,-,-,-,Inconnu,-,C0413194
31827,Intoxication par le paraquat,Tout âge,T60.3,-,-,-,-,Inconnu,-,-
31828,Intoxication par les digitaliques,Tout âge,T46.0,-,-,-,-,Inconnu,Intoxication digitalique,-
31837,Maladie veino-occlusive pulmonaire,Tout âge,-,10153,10037458,D011668,265450,-,-,C0034091
32960,Syndrome périodique associé au récepteur 1 du facteur de nécrose tumorale,"Enfance, Petite enfance, Adolescence, Adulte",E85.0,8457,-,-,142680,1-9 / 1 000 000,Fièvre hibernienne familiale ; Fièvre périodique autosomique dominante ; Syndrome TRAPS ; Syndrome périodique associé au récepteur 1 du TNF,C1275126
33001,Syndrome de lymphoedème-distichiasis,Tout âge,Q82.0,333,-,C537710,153400,Inconnu,-,C0265345
33067,Chondrodysplasie métaphysaire type Jansen,"Petite enfance, Néonatal",Q78.5,79,-,C537564,156400,<1 / 1 000 000,-,C0265295
33069,Syndrome de Dravet,"Petite enfance, Néonatal",G40.4,10430,-,-,607208  612164  615744,Inconnu,EMSN ; Epilepsie myoclonique sévère du nourrisson ; SD,C0751122
33108,Forme létale du syndrome des ptérygiums multiples,"Petite enfance, Néonatal",Q79.8,3834,-,C537378,253290,<1 / 1 000 000,Forme létale autosomique récessive du syndrome des ptérygiums multiples ; LMPS,C1854678
33110,Agammaglobulinémie autosomique,Tout âge,D80.0,9640,-,-,601495  612692  613500  613501  613502  613506  615214  616941,<1 / 1 000 000,Agammaglobulinémie type non-Bruton,C1832241
33111,Chalazodermie granulomateuse,Adulte,C84.0,10986,-,-,-,<1 / 1 000 000,Dermatochalasie granulomateuse,C0376407  C0457002
33208,Hypersomnie idiopathique,Tout âge,F51.1,8737,-,-,-,1-5 / 10 000,Hypersomnie primaire,C0751757
33226,Macroglobulinémie de Waldenström,Troisième age,C88.0,7872,10047801,D008258,153600  610430,1-9 / 100 000,-,C0024419
33276,Sarcome de Kaposi,Adulte,C46.0  C46.1  C46.2  C46.3  C46.7  C46.8  C46.9,6814,10023284,D012514,148000,1-9 / 100 000,Maladie de Kaposi,C0036220
33314,Infiltration lymphocytaire cutanée de Jessner,Adulte,L98.6,6940,-,-,-,Inconnu,Infiltration lymphocytaire cutanée bénigne de Jessner ; Infiltration lymphocytaire cutanée de Jessner-Kanof,C0580181
33355,Dysgénésie réticulaire,"Petite enfance, Néonatal",D81.0,8625,-,C538361,267500,<1 / 1 000 000,Aleucocytose congénitale ; DICS avec leucopénie ; Déficit en AK2 ; Déficit immunitaire combiné sévère avec leucopénie ; Hypoplasie hématopoïétique généralisée ; IDCS avec leucopénie ; Immunodéficience combinée sévère avec leucopénie ; Maladie de De Vaal ; SCID avec leucopénie,C0272167  C1282908
33364,Trichothiodystrophie,"Petite enfance, Néonatal",L67.8,12109,10044628,C536559  D054463,234050  300953  601675  616390  616395  616943,Inconnu,-,C0740342  C1955934
33402,Hépatocarcinome de l'enfant,"Enfance, Adolescence",C22.0,9331,-,-,-,Inconnu,CHC pédiatrique ; HCC de l'enfant ; Hépatocarcinome pédiatrique,-
33408,Lichen bulleux,Enfance,L43.1,-,10056960,-,-,Inconnu,-,C0023648
33445,Maladie neuroectodermique mélanolysosomale,Enfance,L81.4,-,-,C536203,256710,<1 / 1 000 000,Maladie d'Elejalde,C1860157
33475,Méningite à méningocoques,-,A39.0+  G01*,-,10027249,D008585,-,1-9 / 100 000,-,C0025294
33543,Syndrome de Kleine-Levin,"Adolescence, Enfance, Adulte",G47.8,3117,10053712,D017593,148840,1-9 / 1 000 000,-,C0206085
33572,Déficit en 5-oxoprolinase,"Néonatal, Petite enfance, Enfance",E72.8,5681,-,C535322,260005,<1 / 1 000 000,Oxoprolinurie liée à un déficit en oxoprolinase,C0268525
33573,Déficit en gamma-glutamyl transpeptidase,Petite enfance,E72.8,10099,-,-,231950,<1 / 1 000 000,Glutathionurie,C0268524
33574,Déficit en glutamate-cystéine ligase,Petite enfance,D55.1,-,-,-,230450,<1 / 1 000 000,Déficit en gamma-glutamylcystéine synthétase,C1856603
33577,Panniculite nodulaire non suppurative,Adulte,M35.6,7879,10047883,D010201,-,Inconnu,Maladie de Weber-Christian ; Panniculite de Weber-Christian ; Panniculite lobulaire idiopathique ; Panniculite nodulaire fébrile récurrente ; Panniculite nodulaire fébrile récurrente non suppurative ; Panniculite nodulaire idiopathique ; Syndrome de Pfeiffer-Weber-Christian,C0030328
34149,Néphropathie tubulo-intersitielle autosomique dominante,Adulte,Q61.5,10801,-,-,174000  603860  609886,1-9 / 1 000 000,MKMAD ; Maladie des kystes médullaires rénaux autosomique dominante,-
34217,Maladie de Naxos,"Petite enfance, Néonatal",Q87.8,9795,-,C538346,601214,-,KWWH type I ; Syndrome d'hyperkératose palmoplantaire-cardiomyopathie arythmogène ; Syndrome de kératodermie palmoplantaire-cardiomyopathie arythmogène,C1832600
34514,Dystrophie musculaire des ceintures autosomique récessive type 2G,"Enfance, Adolescence, Petite enfance",G71.0,10471,-,-,601954,<1 / 1 000 000,Dystrophie musculaire des ceintures par déficit en téléthonine ; LGMD2G,C1866008
34515,Dystrophie musculaire des ceintures autosomique récessive type 2I,"Enfance, Adolescence, Adulte, Petite enfance",G71.0,12533,-,-,607155,1-9 / 100 000,Dystrophie musculaire des ceintures par déficit en FKRP ; LGMD2I,C1846672
34516,Dystrophie musculaire des ceintures autosomique dominante type 1D,Adulte,G71.0,12528,-,-,603511,<1 / 1 000 000,LGMD1D,C3501858
34517,Dystrophie musculaire des ceintures autosomique dominante type 1E,Adulte,G71.0,12529,-,-,-,<1 / 1 000 000,LGMD1E,C3148763
34520,Dystrophie musculaire congénitale par déficit en intégrine alpha-7,"Petite enfance, Néonatal",G71.2,12587,-,-,613204,<1 / 1 000 000,Dystrophie musculaire congénitale par déficit en ITGA7,C2750786
34521,Myopathie distale avec atteinte respiratoire précoce,Adulte,G71.0,-,-,-,607569,<1 / 1 000 000,-,C1843633
34527,Hypomagnésémie primaire familiale avec normocalciurie et normocalcémie,"Petite enfance, Enfance, Adolescence",E83.4,-,-,-,611718  613882  616418,<1 / 1 000 000,-,-
34528,Hypomagnésémie primaire autosomique dominante avec hypocalciurie,Tout âge,E83.4,3350,-,-,154020,<1 / 1 000 000,HOMG2 ; Hypomagnésémie isolée autosomique dominante ; Hypomagnésémie rénale type 2,C1835171
